,Date,resid
170,1915-03,-0.6083487848923224
171,1915-04,-0.8284019718725393
172,1915-05,2.5953757158199284
173,1915-06,1.2923597409057233
174,1915-07,-1.2783096075568792
175,1915-08,-0.8821225362062095
176,1915-09,-1.427495390575148
177,1915-10,-1.7223327127698806
178,1915-11,-1.1817753329292597
179,1915-12,4.914435715137605
180,1916-01,1.2298204579050085
181,1916-02,0.39817503345830263
182,1916-03,-0.5457394060980629
183,1916-04,-0.0036174287004026168
184,1916-05,0.9585103863522784
185,1916-06,-2.261587580731417
186,1916-07,-0.9568403261186162
187,1916-08,-0.024256102316699002
188,1916-09,-2.0774838565372957
189,1916-10,0.19762612971985322
190,1916-11,0.5687646691343484
191,1916-12,0.6774342710703212
192,1917-01,-1.8200363954467909
193,1917-02,-2.4202560129363526
