Mean,Median,Std,Years,Month,grid,Date
11.583870967741934,11.4,1.9723246477517418,1987.0,10.0,1987.75,1987-10
6.226666666666666,5.300000000000001,2.6054231681355473,1987.0,11.0,1987.8333333333333,1987-11
3.3,2.8,3.3510197452914743,1987.0,12.0,1987.9166666666667,1987-12
4.316129032258066,3.8,2.3531676203497205,1988.0,1.0,1988.0,1988-01
2.6551724137931036,2.6,2.140191280986777,1988.0,2.0,1988.0833333333333,1988-02
5.112903225806451,5.7,3.18776221776174,1988.0,3.0,1988.1666666666667,1988-03
9.363333333333333,9.350000000000001,2.1382370007238127,1988.0,4.0,1988.25,1988-04
13.948387096774194,13.5,1.9946379734581643,1988.0,5.0,1988.3333333333333,1988-05
16.88,17.65,2.328296698713757,1988.0,6.0,1988.4166666666667,1988-06
18.870967741935477,18.9,2.692234951161964,1988.0,7.0,1988.5,1988-07
19.506451612903223,20.5,3.4652499172855213,1988.0,8.0,1988.5833333333333,1988-08
14.996666666666666,15.1,2.5293427432128843,1988.0,9.0,1988.6666666666667,1988-09
11.554838709677423,11.9,2.1478421279162054,1988.0,10.0,1988.75,1988-10
4.656666666666666,5.25,3.5169229628237213,1988.0,11.0,1988.8333333333333,1988-11
2.8935483870967755,2.3,2.8711130807720986,1988.0,12.0,1988.9166666666667,1988-12
1.5032258064516133,1.4,2.186852208231082,1989.0,1.0,1989.0,1989-01
3.075,2.5,3.3176994483571938,1989.0,2.0,1989.0833333333333,1989-02
8.029032258064516,7.4,2.796687749033023,1989.0,3.0,1989.1666666666667,1989-03
8.126666666666669,7.9,2.0414554195193824,1989.0,4.0,1989.25,1989-04
15.25806451612903,15.6,2.4211256601766022,1989.0,5.0,1989.3333333333333,1989-05
17.313333333333333,18.6,3.217059412626353,1989.0,6.0,1989.4166666666667,1989-06
20.954838709677425,20.8,2.0897908523226945,1989.0,7.0,1989.5,1989-07
19.929032258064517,20.9,3.07627410443078,1989.0,8.0,1989.5833333333333,1989-08
15.73,15.65,1.9028381705884179,1989.0,9.0,1989.6666666666667,1989-09
11.196774193548388,11.2,2.015024213414112,1989.0,10.0,1989.75,1989-10
4.3066666666666675,4.05,3.7069304462497454,1989.0,11.0,1989.8333333333333,1989-11
3.9096774193548383,0.8,4.927971512276268,1989.0,12.0,1989.9166666666667,1989-12
1.5580645161290323,0.6,2.9457058230072675,1990.0,1.0,1990.0,1990-01
6.853571428571429,7.25,2.235650894177112,1990.0,2.0,1990.0833333333333,1990-02
7.677419354838712,8.6,3.187131382860284,1990.0,3.0,1990.1666666666667,1990-03
8.366666666666667,7.6,2.4936240533689578,1990.0,4.0,1990.25,1990-04
15.761290322580647,15.7,1.2903946216448254,1990.0,5.0,1990.3333333333333,1990-05
16.60333333333333,15.75,3.137919729675228,1990.0,6.0,1990.4166666666667,1990-06
19.99677419354839,20.6,2.6253233287816493,1990.0,7.0,1990.5,1990-07
20.287096774193554,20.1,2.5627773912279714,1990.0,8.0,1990.5833333333333,1990-08
15.296666666666663,15.600000000000001,2.1090091370664767,1990.0,9.0,1990.6666666666667,1990-09
12.09032258064516,12.3,2.313201942288319,1990.0,10.0,1990.75,1990-10
5.659999999999999,5.55,2.55486014193098,1990.0,11.0,1990.8333333333333,1990-11
1.3225806451612905,0.7,2.716089060569671,1990.0,12.0,1990.9166666666667,1990-12
2.5677419354838706,2.3,3.8102832000411904,1991.0,1.0,1991.0,1991-01
0.12857142857142836,0.0,3.900603670550111,1991.0,2.0,1991.0833333333333,1991-02
7.822580645161291,7.8,2.004779235962463,1991.0,3.0,1991.1666666666667,1991-03
8.476666666666668,9.2,2.8094278879286554,1991.0,4.0,1991.25,1991-04
11.341935483870968,11.1,3.52531551245638,1991.0,5.0,1991.3333333333333,1991-05
16.61,16.45,3.3082290293062884,1991.0,6.0,1991.4166666666667,1991-06
21.187096774193552,21.7,2.406621689628274,1991.0,7.0,1991.5,1991-07
21.309677419354838,21.7,1.6535527083040886,1991.0,8.0,1991.5833333333333,1991-08
17.859999999999996,18.15,2.546342881264328,1991.0,9.0,1991.6666666666667,1991-09
9.816129032258065,10.8,3.0412822705994205,1991.0,10.0,1991.75,1991-10
5.69,4.800000000000001,2.9277919183646537,1991.0,11.0,1991.8333333333333,1991-11
1.4838709677419355,1.1,2.4881180001751724,1991.0,12.0,1991.9166666666667,1991-12
0.3483870967741936,0.5,2.9212863568117764,1992.0,1.0,1992.0,1992-01
2.8999999999999995,3.9,2.8877821445333636,1992.0,2.0,1992.0833333333333,1992-02
6.848387096774193,6.9,1.925940630400625,1992.0,3.0,1992.1666666666667,1992-03
10.113333333333335,9.7,4.103214327340451,1992.0,4.0,1992.25,1992-04
15.632258064516131,16.1,3.0753197228661384,1992.0,5.0,1992.3333333333333,1992-05
16.6,16.6,2.526958100439995,1992.0,6.0,1992.4166666666667,1992-06
20.17096774193548,20.1,2.8246762113425907,1992.0,7.0,1992.5,1992-07
22.02258064516129,22.6,2.91109483155042,1992.0,8.0,1992.5833333333333,1992-08
15.703333333333331,16.05,2.109172632906633,1992.0,9.0,1992.6666666666667,1992-09
9.493548387096775,10.8,3.1311271116400414,1992.0,10.0,1992.75,1992-10
7.243333333333331,7.85,2.477858270602942,1992.0,11.0,1992.8333333333333,1992-11
2.6193548387096786,2.2,2.775538308729643,1992.0,12.0,1992.9166666666667,1992-12
3.348387096774193,3.9,4.319249237829952,1993.0,1.0,1993.0,1993-01
0.8535714285714284,1.05,1.8572145895792527,1993.0,2.0,1993.0833333333333,1993-02
5.406451612903225,4.8,4.020359476785707,1993.0,3.0,1993.1666666666667,1993-03
10.639999999999999,10.3,3.2168307384753714,1993.0,4.0,1993.25,1993-04
14.767741935483869,13.9,2.3809503840237403,1993.0,5.0,1993.3333333333333,1993-05
17.946666666666665,18.299999999999997,2.7926916114712,1993.0,6.0,1993.4166666666667,1993-06
18.799999999999997,18.7,3.3129040634062035,1993.0,7.0,1993.5,1993-07
