EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE COINTRIN (STAID: 240).
Blended and updated with sources: 105115 906700 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
105115,19820413,10115,    0
105115,19820414,10119,    0
105115,19820415,10134,    0
105115,19820416,10142,    0
105115,19820417,10134,    0
105115,19820418,10137,    0
105115,19820419,10139,    0
105115,19820420,10168,    0
105115,19820421,10174,    0
105115,19820422,10166,    0
105115,19820423,10176,    0
105115,19820424,10201,    0
105115,19820425,10229,    0
105115,19820426,10232,    0
105115,19820427,10199,    0
105115,19820428,10190,    0
105115,19820429,10168,    0
105115,19820430,10206,    0
105115,19820501,10224,    0
105115,19820502,10209,    0
105115,19820503,10152,    0
105115,19820504,10130,    0
105115,19820505,10149,    0
105115,19820506,10191,    0
105115,19820507,10239,    0
105115,19820508,10172,    0
105115,19820509,10174,    0
105115,19820510,10197,    0
105115,19820511,10223,    0
105115,19820512,10260,    0
105115,19820513,10254,    0
105115,19820514,10226,    0
105115,19820515,10181,    0
105115,19820516,10172,    0
105115,19820517,10176,    0
105115,19820518,10172,    0
105115,19820519,10202,    0
105115,19820520,10223,    0
105115,19820521,10227,    0
105115,19820522,10198,    0
105115,19820523,10138,    0
105115,19820524,10190,    0
105115,19820525,10218,    0
105115,19820526,10199,    0
105115,19820527,10200,    0
105115,19820528,10226,    0
105115,19820529,10223,    0
105115,19820530,10212,    0
105115,19820531,10228,    0
105115,19820601,10233,    0
105115,19820602,10208,    0
105115,19820603,10191,    0
105115,19820604,10191,    0
105115,19820605,10193,    0
105115,19820606,10177,    0
105115,19820607,10184,    0
105115,19820608,10179,    0
105115,19820609,10162,    0
105115,19820610,10130,    0
105115,19820611,10118,    0
105115,19820612,10117,    0
105115,19820613,10117,    0
105115,19820614,10165,    0
105115,19820615,10171,    0
105115,19820616,10184,    0
105115,19820617,10152,    0
105115,19820618,10159,    0
105115,19820619,10173,    0
105115,19820620,10167,    0
105115,19820621,10169,    0
105115,19820622,10127,    0
105115,19820623,10135,    0
105115,19820624,10140,    0
105115,19820625,10102,    0
105115,19820626,10133,    0
105115,19820627,10177,    0
105115,19820628,10178,    0
105115,19820629,10196,    0
105115,19820630,10239,    0
105115,19820701,10225,    0
105115,19820702,10150,    0
105115,19820703,10135,    0
105115,19820704,10207,    0
105115,19820705,10212,    0
105115,19820706,10183,    0
105115,19820707,10189,    0
105115,19820708,10195,    0
105115,19820709,10177,    0
105115,19820710,10173,    0
105115,19820711,10144,    0
105115,19820712,10118,    0
105115,19820713,10092,    0
105115,19820714,10095,    0
105115,19820715,10137,    0
105115,19820716,10166,    0
105115,19820717,10196,    0
105115,19820718,10190,    0
