EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE COINTRIN (STAID: 240).
Blended and updated with sources: 105109 105114 906700 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
105109,19011028,    2,    0
105109,19011029,    8,    0
105109,19011030,    8,    0
105109,19011031,    8,    0
105109,19011101,    8,    0
105109,19011102,    8,    0
105109,19011103,    8,    0
105109,19011104,    8,    0
105109,19011105,    8,    0
105109,19011106,    8,    0
105109,19011107,    8,    0
105109,19011108,    3,    0
105109,19011109,    8,    0
105109,19011110,    4,    0
105109,19011111,    6,    0
105109,19011112,    3,    0
105109,19011113,    4,    0
105109,19011114,    8,    0
105109,19011115,    8,    0
105109,19011116,    8,    0
105109,19011117,    8,    0
105109,19011118,    5,    0
105109,19011119,    2,    0
105109,19011120,    1,    0
105109,19011121,    4,    0
105109,19011122,    7,    0
105109,19011123,    8,    0
105109,19011124,    8,    0
105109,19011125,    8,    0
105109,19011126,    8,    0
105109,19011127,    8,    0
105109,19011128,    6,    0
105109,19011129,    1,    0
105109,19011130,    1,    0
105109,19011201,    1,    0
105109,19011202,    1,    0
105109,19011203,    8,    0
105109,19011204,    4,    0
105109,19011205,    5,    0
105109,19011206,    6,    0
105109,19011207,    6,    0
105109,19011208,    6,    0
105109,19011209,    8,    0
105109,19011210,    5,    0
105109,19011211,    7,    0
105109,19011212,    5,    0
105109,19011213,    6,    0
105109,19011214,    8,    0
105109,19011215,    7,    0
105109,19011216,    6,    0
105109,19011217,    6,    0
105109,19011218,    5,    0
105109,19011219,    8,    0
105109,19011220,    8,    0
105109,19011221,    8,    0
105109,19011222,    8,    0
105109,19011223,    8,    0
105109,19011224,    8,    0
105109,19011225,    8,    0
105109,19011226,    6,    0
105109,19011227,    7,    0
105109,19011228,    6,    0
105109,19011229,    8,    0
105109,19011230,    6,    0
105109,19011231,    1,    0
105109,19020101,    2,    0
105109,19020102,    8,    0
105109,19020103,    5,    0
105109,19020104,    0,    0
105109,19020105,    7,    0
105109,19020106,    0,    0
105109,19020107,    2,    0
105109,19020108,    3,    0
105109,19020109,    8,    0
105109,19020110,    8,    0
105109,19020111,    8,    0
105109,19020112,    8,    0
105109,19020113,    4,    0
105109,19020114,    8,    0
105109,19020115,    5,    0
105109,19020116,    8,    0
105109,19020117,    4,    0
105109,19020118,    8,    0
105109,19020119,    8,    0
105109,19020120,    8,    0
105109,19020121,    4,    0
105109,19020122,    8,    0
105109,19020123,    6,    0
105109,19020124,    2,    0
105109,19020125,    7,    0
105109,19020126,    7,    0
105109,19020127,    8,    0
105109,19020128,    7,    0
105109,19020129,    7,    0
105109,19020130,    7,    0
105109,19020131,    8,    0
105109,19020201,    8,    0
105109,19020202,    8,    0
105109,19020203,    8,    0
105109,19020204,    8,    0
105109,19020205,    7,    0
105109,19020206,    8,    0
105109,19020207,    8,    0
105109,19020208,    6,    0
105109,19020209,    8,    0
105109,19020210,    6,    0
105109,19020211,    8,    0
105109,19020212,    8,    0
105109,19020213,    8,    0
105109,19020214,    8,    0
105109,19020215,    8,    0
105109,19020216,    8,    0
105109,19020217,    6,    0
105109,19020218,    8,    0
105109,19020219,    8,    0
105109,19020220,    3,    0
105109,19020221,    3,    0
105109,19020222,    5,    0
105109,19020223,    2,    0
105109,19020224,    8,    0
105109,19020225,    8,    0
105109,19020226,    6,    0
105109,19020227,    6,    0
105109,19020228,    8,    0
105109,19020301,    8,    0
105109,19020302,    8,    0
105109,19020303,    4,    0
105109,19020304,    8,    0
105109,19020305,    2,    0
105109,19020306,    0,    0
105109,19020307,    2,    0
105109,19020308,    3,    0
105109,19020309,    8,    0
105109,19020310,    8,    0
105109,19020311,    3,    0
105109,19020312,    2,    0
105109,19020313,    2,    0
105109,19020314,    4,    0
105109,19020315,    8,    0
105109,19020316,    7,    0
105109,19020317,    0,    0
105109,19020318,    0,    0
105109,19020319,    0,    0
105109,19020320,    3,    0
105109,19020321,    7,    0
105109,19020322,    8,    0
105109,19020323,    6,    0
105109,19020324,    7,    0
105109,19020325,    8,    0
105109,19020326,    7,    0
105109,19020327,    8,    0
105109,19020328,    5,    0
105109,19020329,    8,    0
105109,19020330,    8,    0
105109,19020331,    6,    0
105109,19020401,    2,    0
105109,19020402,    8,    0
105109,19020403,    7,    0
105109,19020404,    4,    0
105109,19020405,    0,    0
105109,19020406,    4,    0
105109,19020407,    3,    0
105109,19020408,    5,    0
105109,19020409,    8,    0
105109,19020410,    7,    0
105109,19020411,    8,    0
105109,19020412,    7,    0
