EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE OBSERVATOIRE (STAID: 241).
Blended and updated with sources: 105111 105116 906700 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
105111,19020306,   81,    0
105111,19020307,   71,    0
105111,19020308,   64,    0
105111,19020309,   78,    0
105111,19020310,   90,    0
105111,19020311,   70,    0
105111,19020312,   75,    0
105111,19020313,   68,    0
105111,19020314,   67,    0
105111,19020315,   72,    0
105111,19020316,   78,    0
105111,19020317,   63,    0
105111,19020318,   63,    0
105111,19020319,   63,    0
105111,19020320,   57,    0
105111,19020321,   53,    0
105111,19020322,   92,    0
105111,19020323,   79,    0
105111,19020324,   79,    0
105111,19020325,   67,    0
105111,19020326,   78,    0
105111,19020327,   91,    0
105111,19020328,   79,    0
105111,19020329,   74,    0
105111,19020330,   89,    0
105111,19020331,   81,    0
105111,19020401,   73,    0
105111,19020402,   74,    0
105111,19020403,   73,    0
105111,19020404,   63,    0
105111,19020405,   52,    0
105111,19020406,   53,    0
105111,19020407,   53,    0
105111,19020408,   68,    0
105111,19020409,   73,    0
105111,19020410,   84,    0
105111,19020411,   87,    0
105111,19020412,   82,    0
105111,19020413,   66,    0
105111,19020414,   76,    0
105111,19020415,   78,    0
105111,19020416,   87,    0
105111,19020417,   93,    0
105111,19020418,   83,    0
105111,19020419,   77,    0
105111,19020420,   71,    0
105111,19020421,   73,    0
105111,19020422,   64,    0
105111,19020423,   84,    0
105111,19020424,   81,    0
105111,19020425,   75,    0
105111,19020426,   81,    0
105111,19020427,   78,    0
105111,19020428,   70,    0
105111,19020429,   70,    0
105111,19020430,   42,    0
105111,19020501,   80,    0
105111,19020502,   71,    0
105111,19020503,   68,    0
105111,19020504,   76,    0
105111,19020505,   74,    0
105111,19020506,   67,    0
105111,19020507,   65,    0
105111,19020508,   68,    0
105111,19020509,   74,    0
105111,19020510,   68,    0
105111,19020511,   77,    0
105111,19020512,   59,    0
105111,19020513,   65,    0
105111,19020514,   64,    0
105111,19020515,   55,    0
105111,19020516,   76,    0
105111,19020517,   82,    0
105111,19020518,   63,    0
105111,19020519,   67,    0
105111,19020520,   61,    0
105111,19020521,   61,    0
105111,19020522,   63,    0
105111,19020523,   60,    0
105111,19020524,   64,    0
105111,19020525,   60,    0
105111,19020526,   69,    0
105111,19020527,   57,    0
105111,19020528,   60,    0
105111,19020529,   57,    0
105111,19020530,   69,    0
105111,19020531,   66,    0
105111,19020601,   62,    0
105111,19020602,   59,    0
105111,19020603,   61,    0
105111,19020604,   63,    0
105111,19020605,   74,    0
105111,19020606,   55,    0
105111,19020607,   70,    0
105111,19020608,   69,    0
105111,19020609,   58,    0
105111,19020610,   70,    0
105111,19020611,   72,    0
105111,19020612,   55,    0
105111,19020613,   64,    0
105111,19020614,   73,    0
105111,19020615,   55,    0
105111,19020616,   58,    0
105111,19020617,   74,    0
105111,19020618,   72,    0
105111,19020619,   65,    0
105111,19020620,   84,    0
105111,19020621,   74,    0
105111,19020622,   70,    0
105111,19020623,   64,    0
105111,19020624,   66,    0
105111,19020625,   62,    0
105111,19020626,   70,    0
105111,19020627,   59,    0
105111,19020628,   60,    0
105111,19020629,   64,    0
105111,19020630,   62,    0
105111,19020701,   48,    0
105111,19020702,   78,    0
105111,19020703,   74,    0
105111,19020704,   65,    0
105111,19020705,   61,    0
105111,19020706,   61,    0
105111,19020707,   62,    0
105111,19020708,   57,    0
105111,19020709,   54,    0
105111,19020710,   77,    0
105111,19020711,   60,    0
105111,19020712,   56,    0
105111,19020713,   66,    0
105111,19020714,   67,    0
105111,19020715,   60,    0
105111,19020716,   76,    0
105111,19020717,   80,    0
105111,19020718,   63,    0
105111,19020719,   56,    0
105111,19020720,   55,    0
105111,19020721,   70,    0
105111,19020722,   60,    0
105111,19020723,   60,    0
105111,19020724,   76,    0
105111,19020725,   73,    0
105111,19020726,   69,    0
105111,19020727,   63,    0
105111,19020728,   53,    0
105111,19020729,   63,    0
105111,19020730,   64,    0
105111,19020731,   51,    0
105111,19020801,   85,    0
105111,19020802,   96,    0
105111,19020803,   70,    0
105111,19020804,   72,    0
105111,19020805,   73,    0
105111,19020806,   67,    0
105111,19020807,   59,    0
105111,19020808,   68,    0
105111,19020809,   65,    0
105111,19020810,   63,    0
105111,19020811,   71,    0
105111,19020812,   70,    0
105111,19020813,   70,    0
105111,19020814,   68,    0
105111,19020815,   64,    0
105111,19020816,   58,    0
105111,19020817,   85,    0
105111,19020818,   69,    0
105111,19020819,   62,    0
105111,19020820,   90,    0
105111,19020821,   66,    0
105111,19020822,   71,    0
105111,19020823,   75,    0
105111,19020824,   70,    0
105111,19020825,   96,    0
105111,19020826,   95,    0
105111,19020827,   83,    0
105111,19020828,   84,    0
105111,19020829,   86,    0
105111,19020830,   68,    0
105111,19020831,   75,    0
105111,19020901,   85,    0
105111,19020902,   86,    0
105111,19020903,   73,    0
105111,19020904,   82,    0
105111,19020905,   86,    0
105111,19020906,   88,    0
105111,19020907,   82,    0
105111,19020908,   82,    0
105111,19020909,   84,    0
105111,19020910,   75,    0
105111,19020911,   75,    0
105111,19020912,   90,    0
105111,19020913,   72,    0
105111,19020914,   75,    0
105111,19020915,   69,    0
105111,19020916,   67,    0
105111,19020917,   66,    0
105111,19020918,   71,    0
105111,19020919,   81,    0
105111,19020920,   87,    0
105111,19020921,   86,    0
105111,19020922,   89,    0
105111,19020923,   86,    0
105111,19020924,   66,    0
105111,19020925,   82,    0
105111,19020926,   77,    0
105111,19020927,   82,    0
105111,19020928,   62,    0
105111,19020929,   91,    0
105111,19020930,   87,    0
105111,19021001,   78,    0
105111,19021002,   93,    0
105111,19021003,   88,    0
105111,19021004,   87,    0
105111,19021005,   89,    0
105111,19021006,   80,    0
105111,19021007,   89,    0
105111,19021008,   91,    0
105111,19021009,   90,    0
105111,19021010,   94,    0
105111,19021011,   93,    0
105111,19021012,   83,    0
105111,19021013,   85,    0
105111,19021014,   88,    0
105111,19021015,   78,    0
105111,19021016,   77,    0
105111,19021017,   74,    0
105111,19021018,   84,    0
105111,19021019,   80,    0
105111,19021020,   76,    0
105111,19021021,   78,    0
105111,19021022,   70,    0
105111,19021023,   79,    0
105111,19021024,   71,    0
105111,19021025,   81,    0
105111,19021026,   83,    0
105111,19021027,   84,    0
105111,19021028,   75,    0
105111,19021029,   74,    0
105111,19021030,   79,    0
105111,19021031,   74,    0
105111,19021101,   73,    0
105111,19021102,   74,    0
105111,19021103,   86,    0
105111,19021104,   97,    0
105111,19021105,   94,    0
105111,19021106,   92,    0
105111,19021107,   88,    0
105111,19021108,   86,    0
105111,19021109,   88,    0
105111,19021110,   86,    0
105111,19021111,   91,    0
105111,19021112,   95,    0
105111,19021113,   92,    0
105111,19021114,   88,    0
105111,19021115,   86,    0
105111,19021116,   82,    0
105111,19021117,   79,    0
105111,19021118,   97,    0
105111,19021119,   89,    0
105111,19021120,   81,    0
105111,19021121,   85,    0
105111,19021122,   85,    0
105111,19021123,   82,    0
105111,19021124,   82,    0
105111,19021125,   92,    0
105111,19021126,   85,    0
105111,19021127,   74,    0
105111,19021128,   76,    0
105111,19021129,   85,    0
105111,19021130,   91,    0
105111,19021201,   84,    0
105111,19021202,   68,    0
105111,19021203,   86,    0
105111,19021204,   77,    0
105111,19021205,   88,    0
105111,19021206,   80,    0
105111,19021207,   88,    0
105111,19021208,   85,    0
105111,19021209,   92,    0
105111,19021210,   92,    0
105111,19021211,   93,    0
105111,19021212,   93,    0
105111,19021213,   98,    0
105111,19021214,   93,    0
105111,19021215,   93,    0
105111,19021216,   93,    0
105111,19021217,   89,    0
105111,19021218,   75,    0
105111,19021219,   77,    0
105111,19021220,   85,    0
105111,19021221,   95,    0
105111,19021222,   74,    0
105111,19021223,   78,    0
105111,19021224,   88,    0
105111,19021225,   95,    0
105111,19021226,   83,    0
105111,19021227,   78,    0
105111,19021228,   79,    0
105111,19021229,   61,    0
105111,19021230,   94,    0
105111,19021231,   79,    0
105111,19030101,   75,    0
105111,19030102,   77,    0
105111,19030103,   93,    0
105111,19030104,   76,    0
105111,19030105,   71,    0
105111,19030106,   94,    0
105111,19030107,   61,    0
105111,19030108,   79,    0
105111,19030109,   80,    0
105111,19030110,   96,    0
105111,19030111,   88,    0
105111,19030112,   92,    0
105111,19030113,   84,    0
105111,19030114,   85,    0
105111,19030115,   84,    0
105111,19030116,   90,    0
105111,19030117,   90,    0
105111,19030118,   91,    0
105111,19030119,   90,    0
105111,19030120,   91,    0
105111,19030121,   89,    0
105111,19030122,   89,    0
105111,19030123,   88,    0
105111,19030124,   86,    0
105111,19030125,   81,    0
105111,19030126,   83,    0
105111,19030127,   77,    0
105111,19030128,   72,    0
105111,19030129,   76,    0
105111,19030130,   82,    0
105111,19030131,   85,    0
105111,19030201,   86,    0
105111,19030202,   83,    0
105111,19030203,   67,    0
105111,19030204,   79,    0
105111,19030205,   87,    0
105111,19030206,   99,    0
105111,19030207,  100,    0
105111,19030208,   93,    0
105111,19030209,   74,    0
105111,19030210,   84,    0
105111,19030211,   99,    0
105111,19030212,   99,    0
105111,19030213,   76,    0
105111,19030214,   79,    0
105111,19030215,   79,    0
105111,19030216,   73,    0
105111,19030217,   81,    0
105111,19030218,   91,    0
105111,19030219,   75,    0
105111,19030220,   69,    0
105111,19030221,   71,    0
105111,19030222,   55,    0
105111,19030223,   53,    0
105111,19030224,   59,    0
105111,19030225,   60,    0
105111,19030226,   75,    0
105111,19030227,   61,    0
105111,19030228,   66,    0
105111,19030301,   59,    0
105111,19030302,   60,    0
105111,19030303,   79,    0
105111,19030304,   60,    0
105111,19030305,   68,    0
105111,19030306,   79,    0
105111,19030307,   70,    0
105111,19030308,   77,    0
105111,19030309,   64,    0
105111,19030310,   72,    0
105111,19030311,   70,    0
105111,19030312,   67,    0
105111,19030313,   70,    0
105111,19030314,   69,    0
105111,19030315,   67,    0
105111,19030316,   74,    0
105111,19030317,   79,    0
105111,19030318,   77,    0
105111,19030319,   69,    0
105111,19030320,   76,    0
105111,19030321,   73,    0
105111,19030322,   73,    0
105111,19030323,   69,    0
105111,19030324,   40,    0
105111,19030325,   67,    0
105111,19030326,   65,    0
105111,19030327,   75,    0
105111,19030328,   70,    0
105111,19030329,   69,    0
105111,19030330,   61,    0
105111,19030331,   68,    0
105111,19030401,   65,    0
105111,19030402,   67,    0
105111,19030403,   74,    0
105111,19030404,   66,    0
105111,19030405,   60,    0
105111,19030406,   65,    0
105111,19030407,   57,    0
105111,19030408,   68,    0
105111,19030409,   82,    0
105111,19030410,   62,    0
105111,19030411,   63,    0
105111,19030412,   73,    0
105111,19030413,   53,    0
105111,19030414,   51,    0
105111,19030415,   48,    0
105111,19030416,   70,    0
105111,19030417,   62,    0
105111,19030418,   61,    0
105111,19030419,   63,    0
105111,19030420,   57,    0
105111,19030421,   48,    0
105111,19030422,   75,    0
