EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 05-10-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : daily Snow depth in 1 cm
23-27 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, GENEVE OBSERVATOIRE (STAID: 241).
Blended and updated with sources: 105112 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SD, Q_SD
105112,19311021,    0,    0
105112,19311022,    0,    0
105112,19311023,    0,    0
105112,19311024,    0,    0
105112,19311025,    0,    0
105112,19311026,    0,    0
105112,19311027,    0,    0
105112,19311028,    0,    0
105112,19311029,    0,    0
105112,19311030,    0,    0
105112,19311031,    0,    0
105112,19311101,    0,    0
105112,19311102,    0,    0
105112,19311103,    0,    0
105112,19311104,    0,    0
105112,19311105,    0,    0
105112,19311106,    0,    0
105112,19311107,    0,    0
105112,19311108,    0,    0
105112,19311109,    0,    0
105112,19311110,    0,    0
105112,19311111,    0,    0
105112,19311112,    0,    0
105112,19311113,    0,    0
105112,19311114,    0,    0
105112,19311115,    0,    0
105112,19311116,    0,    0
105112,19311117,    0,    0
105112,19311118,    0,    0
105112,19311119,    0,    0
105112,19311120,    0,    0
105112,19311121,    0,    0
105112,19311122,    0,    0
105112,19311123,    0,    0
105112,19311124,    0,    0
105112,19311125,    0,    0
105112,19311126,    0,    0
105112,19311127,    0,    0
105112,19311128,    0,    0
105112,19311129,    4,    0
105112,19311130,    0,    0
105112,19311201,    0,    0
105112,19311202,    0,    0
105112,19311203,    0,    0
105112,19311204,    0,    0
105112,19311205,    0,    0
105112,19311206,    0,    0
105112,19311207,    0,    0
105112,19311208,    0,    0
105112,19311209,    0,    0
105112,19311210,    0,    0
105112,19311211,    0,    0
105112,19311212,    0,    0
105112,19311213,    0,    0
105112,19311214,    0,    0
105112,19311215,    0,    0
105112,19311216,    0,    0
105112,19311217,    0,    0
105112,19311218,    0,    0
105112,19311219,    0,    0
105112,19311220,    0,    0
105112,19311221,    0,    0
105112,19311222,    0,    0
105112,19311223,    0,    0
105112,19311224,    0,    0
105112,19311225,    0,    0
105112,19311226,    0,    0
105112,19311227,    0,    0
105112,19311228,    0,    0
105112,19311229,    0,    0
105112,19311230,    2,    0
105112,19311231,    1,    0
105112,19320101,    0,    0
105112,19320102,    0,    0
105112,19320103,    2,    0
105112,19320104,    0,    0
105112,19320105,    0,    0
105112,19320106,    0,    0
105112,19320107,    0,    0
105112,19320108,    0,    0
105112,19320109,    0,    0
105112,19320110,    0,    0
105112,19320111,    0,    0
105112,19320112,    0,    0
105112,19320113,    0,    0
105112,19320114,    0,    0
105112,19320115,    0,    0
105112,19320116,    0,    0
105112,19320117,    0,    0
105112,19320118,    0,    0
105112,19320119,    0,    0
105112,19320120,    0,    0
105112,19320121,    0,    0
105112,19320122,    0,    0
105112,19320123,    0,    0
105112,19320124,    0,    0
105112,19320125,    0,    0
105112,19320126,    0,    0
105112,19320127,    0,    0
105112,19320128,    0,    0
105112,19320129,    0,    0
105112,19320130,    0,    0
105112,19320131,    0,    0
105112,19320201,    0,    0
105112,19320202,    0,    0
105112,19320203,    0,    0
105112,19320204,    0,    0
105112,19320205,    0,    0
105112,19320206,    0,    0
105112,19320207,    0,    0
105112,19320208,    0,    0
105112,19320209,    0,    0
105112,19320210,    3,    0
105112,19320211,    2,    0
105112,19320212,    2,    0
105112,19320213,    1,    0
105112,19320214,    1,    0
105112,19320215,    0,    0
105112,19320216,    0,    0
105112,19320217,    0,    0
105112,19320218,    0,    0
105112,19320219,    0,    0
105112,19320220,    0,    0
105112,19320221,    0,    0
105112,19320222,    0,    0
105112,19320223,    0,    0
105112,19320224,    0,    0
105112,19320225,    0,    0
105112,19320226,    0,    0
105112,19320227,    0,    0
105112,19320228,    0,    0
105112,19320229,    0,    0
105112,19320301,    0,    0
105112,19320302,    0,    0
105112,19320303,    0,    0
105112,19320304,    0,    0
105112,19320305,    0,    0
105112,19320306,    0,    0
105112,19320307,    0,    0
105112,19320308,    0,    0
105112,19320309,    0,    0
105112,19320310,    1,    0
105112,19320311,    0,    0
105112,19320312,    0,    0
105112,19320313,    0,    0
105112,19320314,    0,    0
105112,19320315,    0,    0
105112,19320316,    0,    0
105112,19320317,    0,    0
105112,19320318,    0,    0
105112,19320319,    0,    0
105112,19320320,    0,    0
105112,19320321,    0,    0
105112,19320322,    0,    0
105112,19320323,    0,    0
105112,19320324,    0,    0
105112,19320325,    0,    0
105112,19320326,    0,    0
105112,19320327,    0,    0
105112,19320328,    0,    0
105112,19320329,    0,    0
105112,19320330,    0,    0
105112,19320331,    0,    0
105112,19320401,    0,    0
105112,19320402,    0,    0
105112,19320403,    0,    0
105112,19320404,    0,    0
105112,19320405,    0,    0
105112,19320406,    0,    0
105112,19320407,    0,    0
105112,19320408,    0,    0
105112,19320409,    0,    0
105112,19320410,    0,    0
105112,19320411,    2,    0
